iter	TotalF1	MultiClass
260	0.5731795197	1.2338722
261	0.5730407491	1.232414002
262	0.5758954039	1.23140023
263	0.5736621313	1.230566266
264	0.5741950113	1.229606666
265	0.573761418	1.22865994
266	0.575492628	1.227179007
267	0.5748766968	1.225915165
268	0.5745976082	1.224829725
269	0.5762992752	1.223837761
270	0.5774219909	1.22259902
271	0.5769384357	1.222154705
272	0.5809037959	1.220963394
273	0.5799405103	1.219546936
274	0.5806493259	1.218139897
275	0.5802201458	1.217311561
276	0.5816609145	1.216283024
277	0.5803285569	1.215570826
278	0.5815094077	1.214513601
279	0.5814021945	1.213437267
280	0.5831979607	1.212085338
281	0.5821499129	1.211494232
282	0.5805997482	1.210768496
283	0.5815202804	1.209638138
284	0.5833499263	1.208478526
285	0.5836346582	1.207415668
286	0.5843646671	1.206653483
287	0.5857417125	1.205472645
288	0.5867642356	1.204250679
289	0.5877232888	1.203439117
290	0.5878182347	1.202661609
291	0.5885917289	1.201307307
292	0.5894993764	1.200429323
293	0.5892078714	1.199092217
294	0.5897313292	1.198090092
295	0.5921423276	1.196766595
296	0.5926971196	1.19567143
297	0.5933223574	1.19491721
298	0.5939505501	1.194265182
299	0.5944654557	1.193415659
300	0.5944670964	1.192157132
301	0.5937788713	1.191269096
302	0.5943388719	1.190597673
303	0.5950730658	1.189822657
304	0.595209681	1.189202487
305	0.5944902451	1.188463036
306	0.5946358145	1.187917442
307	0.5956342932	1.187123151
308	0.5961325355	1.186502721
309	0.5962731308	1.185531361
310	0.5955423896	1.184763878
311	0.5953288353	1.183742272
312	0.595253382	1.182791328
313	0.5949259412	1.182451437
314	0.5967523934	1.181695019
315	0.5990465983	1.180801816
316	0.6003043907	1.179678972
317	0.603090115	1.178599775
318	0.6032930633	1.177285245
319	0.6039511266	1.176700382
320	0.6033286325	1.176134486
321	0.6046175281	1.174468608
322	0.6044870249	1.173837565
323	0.605207283	1.172213287
324	0.6060051474	1.17174812
325	0.606564482	1.170736745
326	0.6038296639	1.170018942
327	0.6034251112	1.169445738
