train_loss,test_loss,test_acc,test_f1,epoch
1.9391013844446703,1.866776704788208,0.48,0.19141637628095307,1
1.8297992863438346,1.75962495803833,0.6014285714285714,0.19686357863086137,2
1.713167125528509,1.5962544679641724,0.6385714285714286,0.30382246122747303,3
1.5361702035773883,1.4228371381759644,0.6571428571428571,0.3863813979746396,4
1.337091857736761,1.2708537578582764,0.6642857142857143,0.3900195537706855,5
1.1192898005247116,1.1821399927139282,0.7028571428571428,0.44784242948317515,6
1.0002400549975308,1.1116927862167358,0.6857142857142857,0.45306006128289855,7
0.8936229375275698,1.0862932205200195,0.7214285714285714,0.49886748534425657,8
0.8260180076414888,1.0782800912857056,0.6942857142857143,0.4846029377046529,9
0.7388285378163512,1.0570844411849976,0.6928571428571428,0.47862535765239206,10
0.6731662567366253,1.1344616413116455,0.7514285714285714,0.5601839951240126,11
0.6567008664662187,1.1064149141311646,0.7371428571428571,0.5368251948573634,12
0.6459393013607372,1.1413787603378296,0.7542857142857143,0.5597250956851184,13
0.6068266332149506,1.1086593866348267,0.7485714285714286,0.5588633219560722,14
0.5151712758974596,1.1729589700698853,0.77,0.5796862245416122,15
0.4998123916712674,1.2203506231307983,0.7828571428571428,0.6069662464682103,16
0.4521648887206208,1.1802817583084106,0.7428571428571429,0.5525346005635567,17
0.43569530275734986,1.2516230344772339,0.7485714285714286,0.563766516346402,18
0.4180586483668197,1.255500078201294,0.7642857142857142,0.5691044421128612,19
0.35755521296100184,1.3358269929885864,0.7742857142857142,0.5969480159066428,20
