train_loss,val_loss,val_acc,val_f1,epoch
1.9207503633065657,1.8778736591339111,0.5285714285714286,0.2544491831017082,1
1.8350884941491215,1.7457058429718018,0.6157142857142858,0.31372146562534914,2
1.6634119911627336,1.5574249029159546,0.6385714285714286,0.38664203734500974,3
1.4666024094278163,1.3399641513824463,0.6085714285714285,0.395845641755136,4
1.2225830270485445,1.2074823379516602,0.62,0.45314505660703613,5
1.0132838866927407,1.0769073963165283,0.5885714285714285,0.45141828561379554,6
0.9314116022803567,1.060082197189331,0.6385714285714286,0.46654412623484903,7
0.8076511066068303,1.0419917106628418,0.6371428571428571,0.495550793766775,8
0.7129923321984031,1.014222264289856,0.6542857142857142,0.545370130201127,9
0.639518791301684,1.0190813541412354,0.7314285714285714,0.5918070050807981,10
0.575367160141468,1.0136010646820068,0.7314285714285714,0.5866610374027,11
0.5279812785712156,1.0026278495788574,0.6842857142857143,0.5714704001258623,12
0.463982669128613,1.0107853412628174,0.75,0.6275325223238103,13
0.440174017440189,1.0259020328521729,0.75,0.6222470778823929,14
0.4191526828164404,1.0627360343933105,0.7357142857142858,0.5806195609672355,15
