train_loss,val_loss,val_acc,val_f1,epoch
1.4086537740447305,1.3282501697540283,0.6414285714285715,0.3376017110224731,1
1.2548134922981262,1.1459555625915527,0.6585714285714286,0.34963173075941956,2
1.020231320099397,0.860704243183136,0.5957142857142858,0.37164218308319824,3
0.767546458677812,0.6293995976448059,0.5971428571428572,0.44624628288001816,4
0.5633329423991117,0.5148031711578369,0.6142857142857143,0.3939595860607431,5
0.408401123163375,0.4701042175292969,0.63,0.44723782098821074,6
0.33633925460956315,0.4640536308288574,0.67,0.4919355167649403,7
0.2614487714388154,0.442848801612854,0.6628571428571428,0.5203666170730119,8
0.23565964493900537,0.4276266098022461,0.6942857142857143,0.521531838993321,9
0.17541901420124553,0.4828304052352905,0.6957142857142857,0.55759602794353,10
0.15621686176481572,0.40351346135139465,0.6714285714285714,0.5253919615025445,11
0.1328855276700448,0.40602222084999084,0.7228571428571429,0.5505682482488282,12
0.13481857614930381,0.40421411395072937,0.7142857142857143,0.5673071937372358,13
0.097115153870122,0.41006404161453247,0.7257142857142858,0.5704357354129523,14
0.09059389258353887,0.4566132426261902,0.7014285714285714,0.557519039953381,15
0.09115235977382823,0.4520297646522522,0.7071428571428572,0.5679933188187276,16
0.07347912514920939,0.44256332516670227,0.7142857142857143,0.5798757134512771,17
0.06328771563924172,0.4683052897453308,0.7371428571428571,0.6142702139098858,18
0.0651752997232093,0.42702716588974,0.73,0.5764519996222616,19
0.05968553174964406,0.48339036107063293,0.7428571428571429,0.5982543547298995,20
